#OM_number;a;b;chi2_A;chi2_B;loss
166;163.358;15.2884;0.73057;0.675807;0.984875
167;155.836;11.9032;0.403816;1.04732;0.893785
170;178.892;-9.29489;0.726457;1.01508;0.479655
171;171.22;17.5442;1.26158;0.788748;0.735592
172;184.822;-7.28714;0.891656;2.01904;0.80234
173;176.449;-0.919012;1.45853;1.28722;1.22893
174;179.492;-8.96334;1.38599;0.766383;18.3205
175;167.839;19.8287;0.54037;1.94356;0.646084
176;178.482;22.4621;1.25798;0.862416;0.272232
177;161.415;-12.2344;1.37135;1.47428;2.64611
178;173.609;2.0643;0.950827;0.942779;0.504458
179;159.156;10.2245;2.26766;1.36698;0.111582
180;157.295;12.9434;1.3532;1.14365;0.393516
183;187.292;-9.17015;1.57563;1.77685;0.820315
184;165.606;14.2899;1.6221;0.734082;27.3458
185;172.077;-6.67589;0.287003;1.38721;0.0110887
186;170.432;16.7381;1.8571;1.37359;0.394498
187;168.455;-0.961661;1.13725;1.03765;0.228634
188;172.206;12.9424;0.949088;1.54493;0.638581
189;171.223;3.11775;0.869926;1.61446;0.282101
190;190.972;2.90623;1.69751;1.09303;0.455615
191;166.929;-1.5177;0.773432;1.09376;2.27156
192;176.794;1.86254;1.38649;1.01066;2.9577
193;157.347;20.6606;0.814363;1.34007;0.910222
196;169.059;32.8889;1.28014;0.583732;11.7811
197;204.489;-8.88222;1.23308;0.934405;0.886767
198;140.372;-15.9672;0.647355;0.847906;0.676213
199;179.906;-0.248536;0.663672;1.36506;0.802194
200;184.674;-5.59322;1.53368;0.79081;0.849481
201;166.457;4.32927;1.43908;1.60368;0.258453
202;175.378;-5.7373;0.964717;1.00658;0.795885
203;176.29;20.9723;0.689583;0.980435;0.682157
204;181.041;-2.77607;1.33967;0.974289;0.175194
205;162.6;7.97502;0.966521;1.16638;0.474173
206;150.946;9.12693;1.04385;1.23536;0.441595
209;144.337;-7.71351;0.91138;0.84439;192.621
210;179.796;-17.3537;1.10775;1.16253;114.697
211;166.622;-5.27287;0.710142;1.12975;0.912095
212;154.351;28.0373;1.46489;1.62651;0.639979
213;175.303;-4.84873;0.744366;1.21315;0.485565
214;143.537;-11.9251;0.473261;0.813514;0.955973
215;160.567;1.21359;1.59071;0.629573;1.80349
216;158.575;8.68615;2.24749;0.78028;0.557477
217;151.352;12.4308;1.59492;0.857292;0.361272
218;192.207;-11.5767;1.15619;1.01428;0.427543
219;190.604;-21.3924;1.02137;0.750521;0.805293
222;163.761;0.600708;0.71412;0.990253;0.913743
223;148.892;8.44293;0.63594;1.25143;2.12354
224;146.861;13.1927;0.813441;0.801195;0.887717
225;177.861;-10.7974;0.67924;1.4873;0.833518
226;162.544;-9.1723;0.616092;0.612501;0.666329
227;149.02;-1.01952;0.310496;1.05232;4.69915
228;138.162;-9.13957;1.27412;1.45912;0.578622
229;172.585;5.03674;0.771975;1.10594;0.120083
230;119.22;6.29567;0.934319;0.767765;0.118597
231;158.671;18.663;0.97029;1.13363;0.693713
232;183.215;-7.97795;0.672336;0.784234;0.366784
274;194.261;6.01177;0.737839;1.62945;0.495448
275;175.214;10.1396;0.651921;0.853554;19.2817
276;195.567;13.1662;0.518921;0.532099;0.842851
277;178.437;17.9023;0.890556;0.492869;0.22209
278;182.432;-14.8948;1.15659;1.10977;0.587361
279;180.721;17.9564;0.397777;0.58712;0.937292
280;199.459;0.410576;0.699047;0.85081;0.276932
281;192.467;7.70847;1.56175;1.07915;0.586971
282;163.136;6.87641;0.684324;0.965949;0.951736
283;193.461;25.9414;1.35494;1.15637;0.513314
284;197.607;-49.0936;1.29728;1.24106;0.884564
287;263.954;-8.15086;1.64194;1.17668;0.0689001
288;197.378;0.213464;1.18201;1.35592;0.399831
289;158.778;-2.64535;0.986419;1.09873;0.492141
290;180.182;-6.12919;1.40908;1.1619;0.130041
291;178.098;1.44153;1.52339;1.38062;0.0610352
292;208.918;19.6214;1.78608;0.68271;0.258321
293;174.95;0.958729;0.851573;0.91753;0.375877
294;176.995;16.7341;1.43342;1.14168;0.703903
295;174.094;-1.10039;0.896037;0.908391;0.962991
296;183.491;-17.0205;0.708016;1.21426;0.526586
297;160.649;-4.07054;0.502633;1.01567;1.61185
300;202.119;-38.9606;1.14408;1.0731;0.642052
301;170.42;15.6336;0.328865;1.17536;0.572928
302;172.498;-5.38789;1.43892;0.763816;0.984377
303;176.911;-8.02372;2.00855;0.942847;1.62198
304;180.954;29.9168;2.74863;1.06759;1.62048
305;171.289;-14.856;0.420518;1.1994;0.12824
306;230.55;-15.773;1.57696;0.863732;0.442224
307;173.878;-19.2633;1.24688;1.09756;0.542784
309;186.819;7.81464;1.75996;0.975955;0.979713
313;211.289;6.55909;1.21352;0.687487;11.6598
314;249.921;-3.01906;0.91957;0.868708;0.912979
315;183.926;-15.7113;0.419954;1.01271;0.219605
